STATUS | wrapper  | main    | 2019/05/27 18:36:25.499 | --> Wrapper Started as Daemon
STATUS | wrapper  | main    | 2019/05/27 18:36:25.502 | Java Service Wrapper Professional Edition 64-bit 3.5.29
STATUS | wrapper  | main    | 2019/05/27 18:36:25.502 |   Copyright (C) 1999-2016 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | main    | 2019/05/27 18:36:25.502 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | main    | 2019/05/27 18:36:25.502 |   Licensed to SAP SE for hybris Platform
STATUS | wrapper  | main    | 2019/05/27 18:36:25.502 | 
STATUS | wrapper  | main    | 2019/05/27 18:36:25.808 | Launching a JVM...
INFO   | jvm 1    | main    | 2019/05/27 18:36:31.151 | WrapperManager: Initializing...
INFO   | jvm 1    | main    | 2019/05/27 18:36:31.555 | May 27, 2019 6:36:31 PM org.apache.coyote.AbstractProtocol init
INFO   | jvm 1    | main    | 2019/05/27 18:36:31.555 | INFO: Initializing ProtocolHandler ["http-nio-9001"]
INFO   | jvm 1    | main    | 2019/05/27 18:36:31.555 | May 27, 2019 6:36:31 PM org.apache.tomcat.util.net.NioSelectorPool getSharedSelector
INFO   | jvm 1    | main    | 2019/05/27 18:36:31.555 | INFO: Using a shared selector for servlet write/read
INFO   | jvm 1    | main    | 2019/05/27 18:36:31.555 | May 27, 2019 6:36:31 PM org.apache.coyote.AbstractProtocol init
INFO   | jvm 1    | main    | 2019/05/27 18:36:31.555 | INFO: Initializing ProtocolHandler ["https-jsse-nio-9002"]
INFO   | jvm 1    | main    | 2019/05/27 18:36:31.655 | May 27, 2019 6:36:31 PM org.apache.tomcat.util.net.NioSelectorPool getSharedSelector
INFO   | jvm 1    | main    | 2019/05/27 18:36:31.655 | INFO: Using a shared selector for servlet write/read
INFO   | jvm 1    | main    | 2019/05/27 18:36:31.655 | May 27, 2019 6:36:31 PM org.apache.coyote.AbstractProtocol init
INFO   | jvm 1    | main    | 2019/05/27 18:36:31.656 | INFO: Initializing ProtocolHandler ["ajp-nio-8009"]
INFO   | jvm 1    | main    | 2019/05/27 18:36:31.656 | May 27, 2019 6:36:31 PM org.apache.tomcat.util.net.NioSelectorPool getSharedSelector
INFO   | jvm 1    | main    | 2019/05/27 18:36:31.656 | INFO: Using a shared selector for servlet write/read
INFO   | jvm 1    | main    | 2019/05/27 18:36:31.656 | May 27, 2019 6:36:31 PM org.apache.catalina.startup.Catalina load
INFO   | jvm 1    | main    | 2019/05/27 18:36:31.656 | INFO: Initialization processed in 425 ms
INFO   | jvm 1    | main    | 2019/05/27 18:36:31.656 | May 27, 2019 6:36:31 PM org.apache.catalina.mbeans.JmxRemoteLifecycleListener createServer
INFO   | jvm 1    | main    | 2019/05/27 18:36:31.656 | INFO: The JMX Remote Listener has configured the registry on port [9003] and the server on port [9004] for the [Platform] server
INFO   | jvm 1    | main    | 2019/05/27 18:36:31.656 | May 27, 2019 6:36:31 PM org.apache.catalina.core.StandardService startInternal
INFO   | jvm 1    | main    | 2019/05/27 18:36:31.656 | INFO: Starting service [Catalina]
INFO   | jvm 1    | main    | 2019/05/27 18:36:32.665 | May 27, 2019 6:36:32 PM org.apache.jasper.servlet.TldScanner scanJars
INFO   | jvm 1    | main    | 2019/05/27 18:36:32.665 | INFO: At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
INFO   | jvm 1    | main    | 2019/05/27 18:36:33.067 | >>> No SAP licenses found in the system. Trying fallback to hybris license.
INFO   | jvm 1    | main    | 2019/05/27 18:36:53.930 | INFO  [localhost-startStop-10] [AbstractTenant] Created master data source DataSourceImpl<<master/master>>
INFO   | jvm 1    | main    | 2019/05/27 18:36:53.930 | INFO  [localhost-startStop-10] [DefaultClusterNodeManagementService] Automatic cluster ID discovery disabled. Configured ID: 0
INFO   | jvm 1    | main    | 2019/05/27 18:36:53.930 | INFO  [localhost-startStop-10] [DefaultBroadcastService] Started message broadcast service:
INFO   | jvm 1    | main    | 2019/05/27 18:36:53.930 | clustering (enabled:false)
INFO   | jvm 1    | main    | 2019/05/27 18:36:53.930 | sending synchronously - no queue
INFO   | jvm 1    | main    | 2019/05/27 18:36:53.930 | methods [<loopback>::de.hybris.platform.cluster.LoopBackBroadcastMethod@7a8e5a55]
INFO   | jvm 1    | main    | 2019/05/27 18:36:54.031 | INFO  [localhost-startStop-10] [hybrisserver] 
INFO   | jvm 1    | main    | 2019/05/27 18:36:54.031 | INFO  [localhost-startStop-10] [hybrisserver] *****************************************************************
INFO   | jvm 1    | main    | 2019/05/27 18:36:54.031 | INFO  [localhost-startStop-10] [hybrisserver] 
INFO   | jvm 1    | main    | 2019/05/27 18:36:54.031 | INFO  [localhost-startStop-10] [hybrisserver] Starting up hybris server
INFO   | jvm 1    | main    | 2019/05/27 18:36:54.031 | INFO  [localhost-startStop-10] [hybrisserver] 
INFO   | jvm 1    | main    | 2019/05/27 18:36:54.031 | INFO  [localhost-startStop-10] [hybrisserver] Configuration:
INFO   | jvm 1    | main    | 2019/05/27 18:36:54.031 | INFO  [localhost-startStop-10] [hybrisserver] 
INFO   | jvm 1    | main    | 2019/05/27 18:36:54.032 | INFO  [localhost-startStop-10] [hybrisserver] Cluster:     disabled
INFO   | jvm 1    | main    | 2019/05/27 18:36:54.032 | INFO  [localhost-startStop-10] [hybrisserver] Tenant:      master
INFO   | jvm 1    | main    | 2019/05/27 18:36:54.032 | INFO  [localhost-startStop-10] [hybrisserver] Mode:        development
INFO   | jvm 1    | main    | 2019/05/27 18:36:54.032 | INFO  [localhost-startStop-10] [hybrisserver] OS:          Mac OS X 10.14.5, x86_64
INFO   | jvm 1    | main    | 2019/05/27 18:36:54.032 | INFO  [localhost-startStop-10] [hybrisserver] Database:    Pool: hybris - hsqldb, table prefix: 
INFO   | jvm 1    | main    | 2019/05/27 18:36:54.032 | INFO  [localhost-startStop-10] [hybrisserver]              SA - jdbc:hsqldb:file:/Users/miztlimelgoza/workspace/personal/hybris_tutorial/b2b_acc/hybris/data/hsqldb/mydb;shutdown=true;hsqldb.tx=MVCC
INFO   | jvm 1    | main    | 2019/05/27 18:36:54.032 | INFO  [localhost-startStop-10] [hybrisserver] Platform:    1811.5
INFO   | jvm 1    | main    | 2019/05/27 18:36:54.032 | INFO  [localhost-startStop-10] [hybrisserver] Java:        Oracle Corporation
INFO   | jvm 1    | main    | 2019/05/27 18:36:54.032 | INFO  [localhost-startStop-10] [hybrisserver]              Java(TM) SE Runtime Environment, 1.8.0_211-b12
INFO   | jvm 1    | main    | 2019/05/27 18:36:54.032 | INFO  [localhost-startStop-10] [hybrisserver]              /Library/Java/JavaVirtualMachines/jdk1.8.0_211.jdk/Contents/Home/jre
INFO   | jvm 1    | main    | 2019/05/27 18:36:54.032 | INFO  [localhost-startStop-10] [hybrisserver] VM Locale:   language=en,country=MX,region=null
INFO   | jvm 1    | main    | 2019/05/27 18:36:54.032 | INFO  [localhost-startStop-10] [hybrisserver] Cache:       RegionCache is not yet initialized. [de.hybris.platform.cache.impl.RegionCacheAdapter]
INFO   | jvm 1    | main    | 2019/05/27 18:36:54.032 | INFO  [localhost-startStop-10] [hybrisserver] Server type: tomcat
INFO   | jvm 1    | main    | 2019/05/27 18:36:54.033 | INFO  [localhost-startStop-10] [hybrisserver] 
INFO   | jvm 1    | main    | 2019/05/27 18:36:54.033 | INFO  [localhost-startStop-10] [hybrisserver] *****************************************************************
INFO   | jvm 1    | main    | 2019/05/27 18:36:54.033 | INFO  [localhost-startStop-10] [hybrisserver] 
INFO   | jvm 1    | main    | 2019/05/27 18:36:54.033 | INFO  [localhost-startStop-10] [hybrisserver] ---------------------------------------------------------------
INFO   | jvm 1    | main    | 2019/05/27 18:36:54.033 | INFO  [localhost-startStop-10] [hybrisserver] --- Extensions in dependency order ( options: 
INFO   | jvm 1    | main    | 2019/05/27 18:36:54.033 | INFO  [localhost-startStop-10] [hybrisserver] ---  @deprecated: is deprecated, p: platform extension,*: auto-required 
INFO   | jvm 1    | main    | 2019/05/27 18:36:54.033 | INFO  [localhost-startStop-10] [hybrisserver] ---  ?: lazy-loaded, i: got items.xml, b: got beans.xml, c: got core module 
INFO   | jvm 1    | main    | 2019/05/27 18:36:54.033 | INFO  [localhost-startStop-10] [hybrisserver] ---  w: got web module ) 
INFO   | jvm 1    | main    | 2019/05/27 18:36:54.033 | INFO  [localhost-startStop-10] [hybrisserver] ---------------------------------------------------------------
INFO   | jvm 1    | main    | 2019/05/27 18:36:54.033 | INFO  [localhost-startStop-10] [hybrisserver] core 1811.5 [p*cib]
INFO   | jvm 1    | main    | 2019/05/27 18:36:54.034 | INFO  [localhost-startStop-10] [hybrisserver] paymentstandard 1811.5 [p*ci]
INFO   | jvm 1    | main    | 2019/05/27 18:36:54.034 | INFO  [localhost-startStop-10] [hybrisserver] maintenanceweb 1811.5 [p*w]
INFO   | jvm 1    | main    | 2019/05/27 18:36:54.034 | INFO  [localhost-startStop-10] [hybrisserver] testweb 1811.5 [p*w]
INFO   | jvm 1    | main    | 2019/05/27 18:36:54.034 | INFO  [localhost-startStop-10] [hybrisserver] deliveryzone 1811.5 [p*ci]
INFO   | jvm 1    | main    | 2019/05/27 18:36:54.034 | INFO  [localhost-startStop-10] [hybrisserver] commons 1811.5 [p*ci]
INFO   | jvm 1    | main    | 2019/05/27 18:36:54.034 | INFO  [localhost-startStop-10] [hybrisserver] mediaweb 1811.5 [p*cw]
INFO   | jvm 1    | main    | 2019/05/27 18:36:54.034 | INFO  [localhost-startStop-10] [hybrisserver] scripting 1811.5 [p*ci]
INFO   | jvm 1    | main    | 2019/05/27 18:36:54.034 | INFO  [localhost-startStop-10] [hybrisserver] processing->(scripting,commons) 1811.5 [p*cibw]
INFO   | jvm 1    | main    | 2019/05/27 18:36:54.034 | INFO  [localhost-startStop-10] [hybrisserver] impex->processing 1811.5 [p*ci]
INFO   | jvm 1    | main    | 2019/05/27 18:36:54.034 | INFO  [localhost-startStop-10] [hybrisserver] validation->impex 1811.5 [p*ci]
INFO   | jvm 1    | main    | 2019/05/27 18:36:54.034 | INFO  [localhost-startStop-10] [hybrisserver] catalog->(validation,commons) 1811.5 [p*cib]
INFO   | jvm 1    | main    | 2019/05/27 18:36:54.034 | INFO  [localhost-startStop-10] [hybrisserver] advancedsavedquery->(impex,catalog,processing) 1811.5 [p*ci]
INFO   | jvm 1    | main    | 2019/05/27 18:36:54.035 | INFO  [localhost-startStop-10] [hybrisserver] europe1->(impex,catalog) 1811.5 [p*ci]
INFO   | jvm 1    | main    | 2019/05/27 18:36:54.035 | INFO  [localhost-startStop-10] [hybrisserver] platformservices->(paymentstandard,impex,deliveryzone,europe1,processing) 1811.5 [p*cb]
INFO   | jvm 1    | main    | 2019/05/27 18:36:54.035 | INFO  [localhost-startStop-10] [hybrisserver] workflow->(catalog,platformservices,processing,commons) 1811.5 [p*ci]
INFO   | jvm 1    | main    | 2019/05/27 18:36:54.035 | INFO  [localhost-startStop-10] [hybrisserver] comments->(workflow,impex,catalog,processing) 1811.5 [p*ci]
INFO   | jvm 1    | main    | 2019/05/27 18:36:54.035 | INFO  [localhost-startStop-10] [hybrisserver] oauth2->platformservices 1811.5 [p*cibw]
INFO   | jvm 1    | main    | 2019/05/27 18:36:54.035 | INFO  [localhost-startStop-10] [hybrisserver] hac->(impex,catalog,processing,platformservices) 1811.5 [p*cw]
INFO   | jvm 1    | main    | 2019/05/27 18:36:54.035 | INFO  [localhost-startStop-10] [hybrisserver] embeddedserver <-?-tomcatembeddedserver 1811.5 [?cibw] path:/Users/miztlimelgoza/workspace/personal/hybris_tutorial/b2b_acc/hybris/bin/ext-platform-optional/embeddedserver
INFO   | jvm 1    | main    | 2019/05/27 18:36:54.035 | INFO  [localhost-startStop-10] [hybrisserver] voucher <-?-(promotions,voucherbackoffice) 1811.5 [?ci] path:/Users/miztlimelgoza/workspace/personal/hybris_tutorial/b2b_acc/hybris/bin/ext-commerce/voucher
INFO   | jvm 1    | main    | 2019/05/27 18:36:54.035 | INFO  [localhost-startStop-10] [hybrisserver] tomcatembeddedserver->embeddedserver <-?-webservicescommons 1811.5 [?cibw] path:/Users/miztlimelgoza/workspace/personal/hybris_tutorial/b2b_acc/hybris/bin/ext-platform-optional/tomcatembeddedserver
INFO   | jvm 1    | main    | 2019/05/27 18:36:54.035 | INFO  [localhost-startStop-10] [hybrisserver] promotions->voucher <-?-(promotionsbackoffice,commerceservices,promotionengineservices) 1811.5 [?ci] path:/Users/miztlimelgoza/workspace/personal/hybris_tutorial/b2b_acc/hybris/bin/ext-commerce/promotions
INFO   | jvm 1    | main    | 2019/05/27 18:36:54.035 | INFO  [localhost-startStop-10] [hybrisserver] springintegrationlibs <-?-(smartedit,acceleratorservices) 1811.5 [?] path:/Users/miztlimelgoza/workspace/personal/hybris_tutorial/b2b_acc/hybris/bin/ext-platform-optional/springintegrationlibs
INFO   | jvm 1    | main    | 2019/05/27 18:36:54.036 | INFO  [localhost-startStop-10] [hybrisserver] ruleengine <-?-ruleengineservices 1811.5 [?cib] path:/Users/miztlimelgoza/workspace/personal/hybris_tutorial/b2b_acc/hybris/bin/ext-commerce/ruleengine
INFO   | jvm 1    | main    | 2019/05/27 18:36:54.036 | INFO  [localhost-startStop-10] [hybrisserver] auditreportservices <-?-backoffice 1811.5 [?ci] path:/Users/miztlimelgoza/workspace/personal/hybris_tutorial/b2b_acc/hybris/bin/ext-platform-optional/auditreportservices
INFO   | jvm 1    | main    | 2019/05/27 18:36:54.036 | INFO  [localhost-startStop-10] [hybrisserver] ordercalculation <-?-ruleengineservices 1811.5 [?ci] path:/Users/miztlimelgoza/workspace/personal/hybris_tutorial/b2b_acc/hybris/bin/ext-commerce/ordercalculation
